"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"CAL"," Dataset of breast cancer patients from the University of California, San Francisco and the California Pacific Medical Center (United States)","MetaGxBreast/CAL.rda","3.6","Affymetrix HGU","RData","http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-158/","Feb 02 2018","Homo sapien",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","CAL.rda"
"DFHCC"," Dataset of breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/DFHCC.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19615","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","DFHCC.rda"
"DFHCC2"," Dataset of breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/DFHCC2.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18864","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","DFHCC2.rda"
"DFHCC3"," Dataset of breast cancer patients from Dana-Farber Harvard Cancer Center (United States)","MetaGxBreast/DFHCC3.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE3744","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","DFHCC3.rda"
"DUKE"," Dataset of breast cancer patients from Duke university hospital (United States)","MetaGxBreast/DUKE.rda","3.6","Affymetrix HGU95 GPL8300","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse3143","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","DUKE.rda"
"DUKE2"," Dataset of breast cancer patients from Duke university hospital (United States)","MetaGxBreast/DUKE2.rda","3.6","Affymetrix X3P GPL1352","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse6861","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","DUKE2.rda"
"EMC2"," Dataset of breast cancer patients from Erasmus Medical Center (The Netherlands)","MetaGxBreast/EMC2.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse12276","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","EMC2.rda"
"EORTC10994"," Dataset of breast cancer patients from Trial number 10994 from the European Organization for Research and Treatment of Cancer Breast Cancer (Europe)","MetaGxBreast/EORTC10994.rda","3.6","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1561","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","EORTC10994.rda"
"EXPO"," Dataset of breast cancer patients from Expression project for oncology, large dataset of microarray data published by the International Genomics Consortium","MetaGxBreast/EXPO.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE2109","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","EXPO.rda"
"FNCLCC"," Dataset of breast cancer patients from F_d_ration Nationale des Centres de Lutte contre le Cancer (France)","MetaGxBreast/FNCLCC.rda","3.6","In-house cDNA GPL4819","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE7017","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","FNCLCC.rda"
